培训记录ID,培训项目名称,培训类型,培训完成时间,学时,一级维度,二级维度,三级维度,培训层级类型,完成时间（标准格式）,备注
TRN001,跨学科教学融合实践研修,市县培,2025-07-06,18,专业知识,专业知识-学科知识,,市级培训（市培）,2025年07月,
TRN002,新课标下的课堂教学创新培训,市县培,2024-09-02,37,专业能力,专业能力-教学设计,,市级培训（市培）,2024年09月,
TRN003,心理健康教育与学生辅导培训,其它,2025-07-20,21,专业能力,专业能力-班级管理与学生指导,,其它,2025年07月,
TRN004,学科核心考点解析与教学策略培训,国培,2025-06-06,38,专业能力,专业能力-教学设计,,国家级培训（国培）,2025年06月,
TRN005,新课标下的课堂教学创新培训,其它,2024-06-09,32,专业能力,专业能力-教学设计,,其它,2024年06月,
TRN006,教育科研方法与论文写作培训,市县培,2024-07-30,37,专业能力,专业能力-教育研究能力,,市级培训（市培）,2024年07月,
TRN007,教师信息技术应用能力提升培训,校本研修,2024-11-19,34,数字素养,数字素养-教育技术应用能力,,校级培训（校培）,2024年11月,
TRN008,STEM教育理念与实践培训,国培,2025-07-21,12,数字素养,数字素养-教育技术应用能力,,国家级培训（国培）,2025年07月,
TRN009,新课标下的课堂教学创新培训,省培,2024-10-18,9,专业能力,专业能力-教学设计,,省级培训（省培）,2024年10月,
TRN010,教育科研方法与论文写作培训,市县培,2024-06-05,40,专业能力,专业能力-教育研究能力,,市级培训（市培）,2024年06月,
TRN011,核心素养导向的教学设计培训,省培,2025-07-03,10,专业能力,专业能力-教学设计,,省级培训（省培）,2025年07月,
TRN012,核心素养导向的教学设计培训,市县培,2025-12-25,16,专业能力,专业能力-教学设计,,市级培训（市培）,2025年12月,
TRN013,特殊学生教育与帮扶培训,国培,2025-01-22,40,专业能力,专业能力-班级管理与学生指导,,国家级培训（国培）,2025年01月,
TRN014,心理健康教育与学生辅导培训,市县培,2023-08-30,45,专业能力,专业能力-班级管理与学生指导,,市级培训（市培）,2023年08月,
TRN015,教育科研方法与论文写作培训,校本研修,2023-03-17,34,专业能力,专业能力-教育研究能力,,校级培训（校培）,2023年03月,
TRN016,特殊学生教育与帮扶培训,国培,2025-06-20,32,专业能力,专业能力-班级管理与学生指导,,国家级培训（国培）,2025年06月,
TRN017,师德师风建设专题培训,省培,2024-05-29,46,专业理念与师德,专业理念与师德-师德修养,,省级培训（省培）,2024年05月,
TRN018,作业设计与评价改革培训,校本研修,2024-11-27,40,专业能力,专业能力-教学设计,,校级培训（校培）,2024年11月,
TRN019,智慧课堂建设与应用培训,国培,2024-05-25,20,数字素养,数字素养-教育技术应用能力,,国家级培训（国培）,2024年05月,
TRN020,班主任班级管理能力研修,校本研修,2024-02-26,6,专业能力,专业能力-班级管理与学生指导,,校级培训（校培）,2024年02月,
TRN021,特殊学生教育与帮扶培训,市县培,2023-11-01,40,专业能力,专业能力-班级管理与学生指导,,市级培训（市培）,2023年11月,
TRN022,作业设计与评价改革培训,校本研修,2025-09-11,11,专业能力,专业能力-教学设计,,校级培训（校培）,2025年09月,
TRN023,教师信息技术应用能力提升培训,其它,2023-03-26,17,数字素养,数字素养-教育技术应用能力,,其它,2023年03月,
TRN024,班主任班级管理能力研修,省培,2024-03-13,9,专业能力,专业能力-班级管理与学生指导,,省级培训（省培）,2024年03月,
TRN025,作业设计与评价改革培训,国培,2024-07-25,15,专业能力,专业能力-教学设计,,国家级培训（国培）,2024年07月,
TRN026,班主任班级管理能力研修,省培,2023-02-17,22,专业能力,专业能力-班级管理与学生指导,,省级培训（省培）,2023年02月,
TRN027,校本课程开发与实施培训,国培,2023-04-01,28,专业能力,专业能力-课程开发能力,,国家级培训（国培）,2023年04月,
TRN028,教师信息技术应用能力提升培训,省培,2023-12-24,27,数字素养,数字素养-教育技术应用能力,,省级培训（省培）,2023年12月,
TRN029,新课标下的课堂教学创新培训,校本研修,2024-01-18,38,专业能力,专业能力-教学设计,,校级培训（校培）,2024年01月,
TRN030,核心素养导向的教学设计培训,其它,2025-04-09,43,专业能力,专业能力-教学设计,,其它,2025年04月,
TRN031,STEM教育理念与实践培训,市县培,2024-03-14,7,数字素养,数字素养-教育技术应用能力,,市级培训（市培）,2024年03月,
TRN032,作业设计与评价改革培训,校本研修,2023-09-12,16,专业能力,专业能力-教学设计,,校级培训（校培）,2023年09月,
